cohort,mean_latency_frames,sem_latency_frames,mean_latency_ms,sem_latency_ms,mean_latency_seconds,sem_latency_seconds,trials
7-month-olds,77.85714285714286,6.867551623841094,2595.2380952380954,228.9183874613698,2.5952380952380953,0.22891838746136975,7
8-month-olds,93.25,6.469019576853534,3108.333333333333,215.63398589511786,3.1083333333333334,0.2156339858951178,8
9-month-olds,76.5,7.463280073168194,2550.0,248.7760024389398,2.5500000000000003,0.2487760024389398,14
10-month-olds,71.25,5.688231558302595,2375.0,189.60771861008652,2.375,0.18960771861008652,24
11-month-olds,75.45454545454545,8.334336027830494,2515.1515151515155,277.81120092768316,2.515151515151515,0.2778112009276832,11
Adults,64.35714285714286,5.4883749885660285,2145.238095238095,182.94583295220096,2.145238095238095,0.182945832952201,28
