cohort,strategy,mean,sem,n_trials
10-month-olds,Agent-Agent Attention,0.3975840336134454,0.06236605011454648,34
10-month-olds,Agent-Object Binding,0.1480392156862745,0.046332704451858935,34
10-month-olds,Motion Tracking,0.19779411764705881,0.04432029529354568,34
11-month-olds,Agent-Agent Attention,0.4294372294372294,0.07573807453903776,17
11-month-olds,Agent-Object Binding,0.17295645530939646,0.048474969488104015,17
11-month-olds,Motion Tracking,0.2918130888719124,0.0836440299618837,17
7-month-olds,Agent-Agent Attention,0.0819327731092437,0.0415148589188435,17
7-month-olds,Agent-Object Binding,0.2586367880485528,0.09503864411053493,17
7-month-olds,Motion Tracking,0.45191409897292245,0.110953583536356,17
8-month-olds,Agent-Agent Attention,0.253030303030303,0.06391918188567919,22
8-month-olds,Agent-Object Binding,0.11742424242424242,0.03513317740818073,22
8-month-olds,Motion Tracking,0.4075757575757576,0.08623886584711402,22
9-month-olds,Agent-Agent Attention,0.5117989417989418,0.07193965358725901,30
9-month-olds,Agent-Object Binding,0.10865079365079365,0.04120444747463442,30
9-month-olds,Motion Tracking,0.21804232804232807,0.06016262371069263,30
Adults,Agent-Agent Attention,0.12137320044296789,0.03528664220918546,43
Adults,Agent-Object Binding,0.511904761904762,0.04919592883150896,43
Adults,Motion Tracking,0.2862679955703211,0.05183317760768611,43
