participant_id,trial_number,condition,participant_age_months,total_transitions,agent_agent_attention_pct,agent_object_binding_pct,motion_tracking_pct
Eight-0101-1579,1,f,8.0,5,0.6,0.4,0.0
Eight-0101-947,1,f,8.0,10,0.3,0.1,0.1
Eight-0101-947,2,f,8.0,3,0.6666666666666666,0.3333333333333333,0.0
Eight-0101-947,3,f,8.0,6,0.8333333333333334,0.0,0.0
Eight-0101-947,4,f,8.0,3,0.3333333333333333,0.0,0.0
Eight-0201-1170,1,f,8.0,5,0.4,0.2,0.4
Eight-0201-1170,2,f,8.0,5,0.2,0.4,0.2
Eight-0201-1170,7,f,8.0,1,1.0,0.0,0.0
Eight-0201-1464,1,f,8.0,5,0.0,0.2,0.2
Eight-0201-1464,2,f,8.0,5,0.4,0.0,0.0
Eight-0301-1658,1,f,8.0,2,0.0,0.5,0.5
Eight-0301-1658,2,f,8.0,3,0.0,0.0,1.0
Eight-0301-1658,3,f,8.0,1,0.0,0.0,1.0
Eight-0301-1658,4,f,8.0,4,0.25,0.0,0.0
Eight-0401-1638,1,f,8.0,5,0.0,0.2,0.4
Eight-0401-1638,2,f,8.0,6,0.0,0.0,0.8333333333333334
Eight-0401-1638,3,f,8.0,5,0.0,0.0,1.0
Eight-0501-6206,1,f,8.0,4,0.25,0.0,0.25
Eight-0501-6206,2,f,8.0,4,0.0,0.25,0.75
Eight-0501-6206,3,f,8.0,2,0.0,0.0,1.0
Eight-0601-5801,1,f,8.0,1,0.0,0.0,1.0
Eight-0601-5801,7,f,8.0,3,0.3333333333333333,0.0,0.3333333333333333
Eleven-0101-141,1,f,11.0,6,0.5,0.3333333333333333,0.0
Eleven-0101-141,2,f,11.0,8,0.5,0.0,0.25
Eleven-0101-141,3,f,11.0,6,0.6666666666666666,0.0,0.0
Eleven-0101-342,1,f,11.0,3,0.3333333333333333,0.6666666666666666,0.0
Eleven-0201-209,1,f,11.0,6,0.3333333333333333,0.16666666666666666,0.3333333333333333
Eleven-0201-209,2,f,11.0,6,0.8333333333333334,0.0,0.0
Eleven-0201-209,3,f,11.0,11,0.09090909090909091,0.45454545454545453,0.2727272727272727
Eleven-0202-5721,1,f,11.0,4,0.5,0.25,0.25
Eleven-0202-5721,2,f,11.0,2,0.0,0.0,1.0
Eleven-0202-5721,3,f,11.0,7,0.14285714285714285,0.2857142857142857,0.5714285714285714
Eleven-0301-418,1,f,11.0,4,0.0,0.25,0.75
Eleven-0301-418,2,f,11.0,1,0.0,0.0,1.0
Eleven-0301-418,3,f,11.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
Eleven-0301-5909,2,f,11.0,6,0.6666666666666666,0.0,0.0
Eleven-0301-5909,3,f,11.0,5,0.6,0.2,0.2
Eleven-0501-837,1,f,11.0,7,1.0,0.0,0.0
Eleven-0501-837,5,f,11.0,5,0.8,0.0,0.0
FiftySix-0501-1673,1,f,672.0,5,0.0,0.4,0.4
FiftySix-0501-1673,2,f,672.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
FiftySix-0501-1673,3,f,672.0,6,0.16666666666666666,0.5,0.3333333333333333
FiftySix-0501-1673,4,f,672.0,5,0.2,0.8,0.0
FortyOne-0101-1677,1,f,492.0,1,0.0,1.0,0.0
FortyOne-0101-1677,2,f,492.0,5,0.0,0.6,0.4
FortyOne-0101-1677,3,f,492.0,4,0.0,0.75,0.25
FortySix-0101-1666,1,f,552.0,2,0.5,0.5,0.0
FortySix-0101-1666,2,f,552.0,4,0.0,0.5,0.25
FortySix-0101-1666,3,f,552.0,1,1.0,0.0,0.0
FourtySix-0401-1672,1,f,552.0,1,0.0,1.0,0.0
FourtySix-0401-1672,2,f,552.0,2,0.0,1.0,0.0
FourtySix-0401-1672,3,f,552.0,2,0.0,1.0,0.0
Nine-0101-598,1,f,9.0,1,1.0,0.0,0.0
Nine-0101-598,2,f,9.0,4,1.0,0.0,0.0
Nine-0101-598,3,f,9.0,4,1.0,0.0,0.0
Nine-0101-694,1,f,9.0,1,0.0,0.0,1.0
Nine-0101-694,2,f,9.0,2,0.0,0.0,1.0
Nine-0101-694,3,f,9.0,2,0.0,0.0,1.0
Nine-0101-707,1,f,9.0,5,0.8,0.0,0.0
Nine-0101-707,2,f,9.0,3,0.6666666666666666,0.0,0.0
Nine-0201-1035,3,f,9.0,5,0.4,0.2,0.2
Nine-0201-464,1,f,9.0,5,0.4,0.0,0.4
Nine-0201-464,2,f,9.0,4,0.75,0.0,0.0
Nine-0201-464,3,f,9.0,3,0.0,0.0,0.0
Nine-0301-1009,1,f,9.0,9,0.1111111111111111,0.0,0.5555555555555556
Nine-0301-1009,2,f,9.0,10,0.0,0.0,0.6
Nine-0301-1009,3,f,9.0,2,0.0,0.0,0.5
Nine-0301-1171,1,f,9.0,1,1.0,0.0,0.0
Nine-0301-1171,4,f,9.0,4,0.25,0.25,0.25
Nine-0301-1171,5,f,9.0,3,1.0,0.0,0.0
Nine-0301-1171,7,f,9.0,3,1.0,0.0,0.0
Nine-0401-1096,1,f,9.0,3,0.3333333333333333,0.6666666666666666,0.0
Nine-0401-1096,2,f,9.0,3,0.6666666666666666,0.0,0.0
Nine-0401-1096,3,f,9.0,6,0.5,0.3333333333333333,0.0
Nine-0401-1096,4,f,9.0,2,1.0,0.0,0.0
Nine-0502-5656,1,f,9.0,6,0.8333333333333334,0.16666666666666666,0.0
Nine-0502-5656,2,f,9.0,7,0.7142857142857143,0.0,0.0
Nine-0502-5656,3,f,9.0,7,0.42857142857142855,0.14285714285714285,0.2857142857142857
Nine-0601-5532,1,f,9.0,4,0.25,0.25,0.25
Nine-0601-5532,2,f,9.0,1,1.0,0.0,0.0
Nine-0601-5532,3,f,9.0,1,0.0,1.0,0.0
Nine-0601-5532,6,f,9.0,4,0.25,0.25,0.5
Seven-0101-1373,4,f,7.0,1,0.0,0.0,0.0
Seven-0102-5982,1,f,7.0,1,0.0,0.0,1.0
Seven-0102-5982,3,f,7.0,4,0.25,0.0,0.0
Seven-0102-5982,4,f,7.0,2,0.0,1.0,0.0
Seven-0102-5982,5,f,7.0,2,0.5,0.5,0.0
Seven-0201-1152,1,f,7.0,5,0.0,0.0,1.0
Seven-0201-1152,2,f,7.0,2,0.0,0.0,1.0
Seven-0202-6362,1,f,7.0,5,0.0,0.0,1.0
