participant_id,participant_type,age_months,age_group,trial_number,condition,condition_name,segment,aoi_category,gaze_start_frame,gaze_end_frame,gaze_duration_frames,gaze_duration_ms,gaze_onset_time,gaze_offset_time
FiftySix-0501-1673,adult,672,adult,1,ugw,UPSIDE_DOWN_GIVE_WITH,approach,screen_nonAOI,1,14,14,466.6999999999999,2.5,2.9667
FiftySix-0501-1673,adult,672,adult,1,ugw,UPSIDE_DOWN_GIVE_WITH,approach,man_body,15,27,13,433.3,2.9667,3.4
FiftySix-0501-1673,adult,672,adult,1,ugw,UPSIDE_DOWN_GIVE_WITH,approach,off_screen,28,31,4,133.30000000000018,3.4,3.5333
FiftySix-0501-1673,adult,672,adult,1,ugw,UPSIDE_DOWN_GIVE_WITH,interaction,toy_present,32,36,5,166.70000000000007,3.5333,3.7
FiftySix-0501-1673,adult,672,adult,1,ugw,UPSIDE_DOWN_GIVE_WITH,interaction,woman_body,37,41,5,166.69999999999962,3.7,3.8667
FiftySix-0501-1673,adult,672,adult,1,ugw,UPSIDE_DOWN_GIVE_WITH,interaction,toy_present,42,81,40,1333.3000000000004,3.8667,5.2
FiftySix-0501-1673,adult,672,adult,1,ugw,UPSIDE_DOWN_GIVE_WITH,interaction,woman_face,82,89,8,266.70000000000016,5.2,5.4667
FiftySix-0501-1673,adult,672,adult,1,ugw,UPSIDE_DOWN_GIVE_WITH,interaction,man_face,90,95,6,199.9999999999993,5.4667,5.6667
FiftySix-0501-1673,adult,672,adult,1,ugw,UPSIDE_DOWN_GIVE_WITH,departure,off_screen,96,103,8,266.60000000000036,5.6667,5.9333
FiftySix-0501-1673,adult,672,adult,1,ugw,UPSIDE_DOWN_GIVE_WITH,departure,off_screen,105,107,3,99.99999999999964,5.9667,6.0667
FiftySix-0501-1673,adult,672,adult,1,ugw,UPSIDE_DOWN_GIVE_WITH,departure,toy_present,108,110,3,99.99999999999964,6.0667,6.1667
FiftySix-0501-1673,adult,672,adult,1,ugw,UPSIDE_DOWN_GIVE_WITH,departure,man_body,111,113,3,100.00000000000054,6.1667,6.2667
FiftySix-0501-1673,adult,672,adult,1,ugw,UPSIDE_DOWN_GIVE_WITH,departure,toy_present,114,131,18,599.9999999999997,6.2667,6.8667
FiftySix-0501-1673,adult,672,adult,1,ugw,UPSIDE_DOWN_GIVE_WITH,departure,screen_nonAOI,132,12,37,5433.300000000001,6.8667,12.3
FiftySix-0501-1673,adult,672,adult,1,ugwo,UPSIDE_DOWN_GIVE_WITHOUT,approach,man_body,13,20,8,266.70000000000016,12.3,12.5667
FiftySix-0501-1673,adult,672,adult,1,ugwo,UPSIDE_DOWN_GIVE_WITHOUT,approach,off_screen,22,31,10,333.2999999999995,12.6,12.9333
FiftySix-0501-1673,adult,672,adult,1,ugwo,UPSIDE_DOWN_GIVE_WITHOUT,approach,screen_nonAOI,32,37,6,200.00000000000108,12.9333,13.1333
FiftySix-0501-1673,adult,672,adult,1,ugwo,UPSIDE_DOWN_GIVE_WITHOUT,approach,man_hands,38,48,11,366.6999999999998,13.1333,13.5
FiftySix-0501-1673,adult,672,adult,1,ugwo,UPSIDE_DOWN_GIVE_WITHOUT,interaction,toy_location,49,91,43,1433.299999999999,13.5,14.9333
FiftySix-0501-1673,adult,672,adult,1,ugwo,UPSIDE_DOWN_GIVE_WITHOUT,interaction,woman_hands,92,99,8,266.70000000000016,14.9333,15.2
FiftySix-0501-1673,adult,672,adult,1,ugwo,UPSIDE_DOWN_GIVE_WITHOUT,interaction,off_screen,100,103,4,133.30000000000018,15.2,15.3333
FiftySix-0501-1673,adult,672,adult,1,ugwo,UPSIDE_DOWN_GIVE_WITHOUT,interaction,toy_location,104,108,5,166.7000000000005,15.3333,15.5
