participant_id,participant_type,age_months,age_group,trial_number,condition,condition_name,segment,aoi_category,gaze_start_frame,gaze_end_frame,gaze_duration_frames,gaze_duration_ms,gaze_onset_time,gaze_offset_time
Eight-0101-1579,infant,8,8-month-olds,1,gwo,GIVE_WITHOUT,approach,screen_nonAOI,2,16,15,500.0,9.2333,9.7333
Eight-0101-1579,infant,8,8-month-olds,1,gwo,GIVE_WITHOUT,approach,man_body,17,22,6,199.9999999999993,9.7333,9.9333
Eight-0101-1579,infant,8,8-month-olds,1,gwo,GIVE_WITHOUT,approach,man_face,23,28,6,200.00000000000108,9.9333,10.1333
Eight-0101-1579,infant,8,8-month-olds,1,gwo,GIVE_WITHOUT,approach,man_body,29,31,3,99.99999999999964,10.1333,10.2333
Eight-0101-1579,infant,8,8-month-olds,1,gwo,GIVE_WITHOUT,approach,man_body,33,35,3,99.99999999999964,10.2667,10.3667
Eight-0101-1579,infant,8,8-month-olds,1,gwo,GIVE_WITHOUT,approach,man_face,36,50,15,500.0,10.3667,10.8667
Eight-0101-1579,infant,8,8-month-olds,1,gwo,GIVE_WITHOUT,interaction,woman_face,51,83,33,1099.9999999999995,10.8667,11.9667
Eight-0101-1579,infant,8,8-month-olds,1,gwo,GIVE_WITHOUT,interaction,woman_body,84,96,13,433.3000000000009,11.9667,12.4
Eight-0101-1579,infant,8,8-month-olds,1,gwo,GIVE_WITHOUT,interaction,woman_body,98,100,3,100.00000000000142,12.4333,12.5333
Eight-0101-1579,infant,8,8-month-olds,1,gwo,GIVE_WITHOUT,interaction,woman_body,102,105,4,133.29999999999842,12.5667,12.7
Eight-0101-1579,infant,8,8-month-olds,1,gwo,GIVE_WITHOUT,departure,screen_nonAOI,106,112,7,233.29999999999984,12.7,12.9333
Eight-0101-1579,infant,8,8-month-olds,1,gwo,GIVE_WITHOUT,departure,screen_nonAOI,117,125,9,299.9999999999989,13.0667,13.3667
Eight-0101-1579,infant,8,8-month-olds,1,gwo,GIVE_WITHOUT,departure,screen_nonAOI,127,133,7,233.29999999999984,13.4,13.6333
Eight-0101-1579,infant,8,8-month-olds,1,gwo,GIVE_WITHOUT,departure,screen_nonAOI,138,13,26,13266.6,13.7667,27.0333
Eight-0101-1579,infant,8,8-month-olds,1,uhw,UPSIDE_DOWN_HUG_WITH,approach,man_body,14,20,7,233.3999999999996,27.0333,27.2667
Eight-0101-1579,infant,8,8-month-olds,1,uhw,UPSIDE_DOWN_HUG_WITH,approach,screen_nonAOI,24,26,3,99.99999999999787,27.3667,27.4667
Eight-0101-1579,infant,8,8-month-olds,1,uhw,UPSIDE_DOWN_HUG_WITH,approach,man_body,27,33,7,233.29999999999984,27.4667,27.7
Eight-0101-1579,infant,8,8-month-olds,1,uhw,UPSIDE_DOWN_HUG_WITH,interaction,toy_present,34,36,3,100.00000000000142,27.7,27.8
Eight-0101-1579,infant,8,8-month-olds,1,uhw,UPSIDE_DOWN_HUG_WITH,interaction,man_hands,39,42,4,133.29999999999842,27.8667,28.0
Eight-0101-1579,infant,8,8-month-olds,1,uhw,UPSIDE_DOWN_HUG_WITH,interaction,man_hands,44,61,18,599.9999999999978,28.0333,28.6333
