cohort,strategy,mean,sem,n_trials
10-month-olds,Agent-Agent Attention,0.1552123552123552,0.038632155589196665,37
10-month-olds,Agent-Object Binding,0.4160875160875161,0.05599039279819607,37
10-month-olds,Motion Tracking,0.22934362934362934,0.05571452206537209,37
11-month-olds,Agent-Agent Attention,0.15841543513957304,0.04836249389851464,29
11-month-olds,Agent-Object Binding,0.5597701149425288,0.06437365780124041,29
11-month-olds,Motion Tracking,0.08825944170771756,0.029864807101808954,29
7-month-olds,Agent-Agent Attention,0.06961697722567287,0.04524143037804163,23
7-month-olds,Agent-Object Binding,0.2997929606625259,0.06919412940688169,23
7-month-olds,Motion Tracking,0.3979296066252588,0.07091481976319872,23
8-month-olds,Agent-Agent Attention,0.15804597701149425,0.05037231856211222,29
8-month-olds,Agent-Object Binding,0.33341543513957306,0.06036844817697146,29
8-month-olds,Motion Tracking,0.23825944170771754,0.05839176044330238,29
9-month-olds,Agent-Agent Attention,0.125,0.053791435363991905,28
9-month-olds,Agent-Object Binding,0.3535714285714286,0.07127150573703599,28
9-month-olds,Motion Tracking,0.25416666666666665,0.0669725401536084,28
Adults,Agent-Agent Attention,0.38441558441558443,0.049795570304673624,44
Adults,Agent-Object Binding,0.42072510822510817,0.04450951476659012,44
Adults,Motion Tracking,0.05034271284271285,0.014423694409050185,44
