cohort,strategy,mean,sem,n_trials
10-month-olds,Agent-Agent Attention,0.15281385281385282,0.04057679101057929,33
10-month-olds,Agent-Object Binding,0.43982683982683984,0.05571203027812026,33
10-month-olds,Motion Tracking,0.1839105339105339,0.048106388621299574,33
11-month-olds,Agent-Agent Attention,0.14914529914529912,0.043170516287322644,26
11-month-olds,Agent-Object Binding,0.5584554334554335,0.06405654054556252,26
11-month-olds,Motion Tracking,0.0875,0.027662688932465675,26
7-month-olds,Agent-Agent Attention,0.07039337474120082,0.04529126668231141,23
7-month-olds,Agent-Object Binding,0.2503105590062112,0.048769351366436495,23
7-month-olds,Motion Tracking,0.42018633540372663,0.06905798152431784,23
8-month-olds,Agent-Agent Attention,0.136,0.0374126142324177,25
8-month-olds,Agent-Object Binding,0.3031428571428571,0.05179081711768322,25
8-month-olds,Motion Tracking,0.2556190476190476,0.05123251872645623,25
9-month-olds,Agent-Agent Attention,0.11521739130434783,0.05080503697936882,23
9-month-olds,Agent-Object Binding,0.44855072463768114,0.06876564814513293,23
9-month-olds,Motion Tracking,0.2253623188405797,0.05311828314216927,23
Adults,Agent-Agent Attention,0.36722222222222217,0.04626297914749832,45
Adults,Agent-Object Binding,0.3909275292608626,0.04267130567301897,45
Adults,Motion Tracking,0.05616402116402116,0.014974433013470456,45
