cohort,strategy,mean,sem,n_trials
10-month-olds,Agent-Agent Attention,0.19874686716791978,0.0450756572014138,38
10-month-olds,Agent-Object Binding,0.38398078529657476,0.05154613807677411,38
10-month-olds,Motion Tracking,0.22451963241436926,0.05260198052622395,38
11-month-olds,Agent-Agent Attention,0.22380952380952382,0.05398867494132339,21
11-month-olds,Agent-Object Binding,0.4088624338624338,0.07520001231470512,21
11-month-olds,Motion Tracking,0.13888888888888887,0.05731345785676449,21
7-month-olds,Agent-Agent Attention,0.04083333333333333,0.023892883522943296,20
7-month-olds,Agent-Object Binding,0.1675,0.052711215336228225,20
7-month-olds,Motion Tracking,0.5666666666666667,0.09455188247481995,20
8-month-olds,Agent-Agent Attention,0.0409090909090909,0.025191123040611475,22
8-month-olds,Agent-Object Binding,0.22878787878787882,0.07792077520155229,22
8-month-olds,Motion Tracking,0.48939393939393944,0.09512874149576649,22
9-month-olds,Agent-Agent Attention,0.13103448275862067,0.04404714081921773,29
9-month-olds,Agent-Object Binding,0.45747126436781604,0.06806611116494868,29
9-month-olds,Motion Tracking,0.196551724137931,0.060813334940497454,29
Adults,Agent-Agent Attention,0.2650297619047619,0.04657382118818983,40
Adults,Agent-Object Binding,0.3783333333333333,0.047999987281235605,40
Adults,Motion Tracking,0.28550595238095233,0.05982618387085633,40
