participant_id,trial_number,condition,participant_age_months,latency_frames,latency_ms,latency_seconds
Seven-0301-1342,1,gw,7.0,25.0,833.3333333333334,0.8333333333333334
Seven-0301-1342,2,gw,7.0,32.0,1066.6666666666667,1.0666666666666667
Seven-0301-1342,4,gw,7.0,27.0,900.0,0.9
Seven-0401-1655,1,gw,7.0,15.0,500.0,0.5
Seven-0401-1655,3,gw,7.0,23.0,766.6666666666667,0.7666666666666667
Seven-0601-6417,1,gw,7.0,0.0,0.0,0.0
Seven-0601-6417,4,gw,7.0,4.0,133.33333333333334,0.13333333333333333
Seven-0601-6417,5,gw,7.0,29.0,966.6666666666666,0.9666666666666667
Ten-0101-246,2,gw,10.0,18.0,600.0,0.6
Ten-0101-246,3,gw,10.0,15.0,500.0,0.5
Ten-0101-246,4,gw,10.0,13.0,433.33333333333337,0.43333333333333335
Ten-0102-5728,1,gw,10.0,46.0,1533.3333333333335,1.5333333333333334
Ten-0102-5728,2,gw,10.0,15.0,500.0,0.5
Ten-0102-5728,3,gw,10.0,40.0,1333.3333333333333,1.3333333333333333
Ten-0301-1158,1,gw,10.0,16.0,533.3333333333334,0.5333333333333333
Ten-0301-1158,5,gw,10.0,19.0,633.3333333333333,0.6333333333333333
Ten-0301-242,1,gw,10.0,21.0,700.0,0.7
Ten-0301-242,3,gw,10.0,16.0,533.3333333333334,0.5333333333333333
Ten-0301-242,4,gw,10.0,18.0,600.0,0.6
Ten-0401-800,1,gw,10.0,1.0,33.333333333333336,0.03333333333333333
Ten-0401-800,2,gw,10.0,10.0,333.3333333333333,0.3333333333333333
Ten-0401-800,7,gw,10.0,25.0,833.3333333333334,0.8333333333333334
Ten-0501-455,3,gw,10.0,11.0,366.66666666666663,0.36666666666666664
Ten-0501-455,4,gw,10.0,11.0,366.66666666666663,0.36666666666666664
Ten-0501-5669,1,gw,10.0,29.0,966.6666666666666,0.9666666666666667
Ten-0501-5669,2,gw,10.0,30.0,1000.0,1.0
Ten-0501-5669,3,gw,10.0,35.0,1166.6666666666667,1.1666666666666667
Ten-0501-5753,1,gw,10.0,13.0,433.33333333333337,0.43333333333333335
Ten-0501-5753,2,gw,10.0,28.0,933.3333333333334,0.9333333333333333
Ten-0601-5737,1,gw,10.0,15.0,500.0,0.5
Ten-0601-5737,2,gw,10.0,23.0,766.6666666666667,0.7666666666666667
Ten-0601-5737,3,gw,10.0,10.0,333.3333333333333,0.3333333333333333
Ten-0601-825,1,gw,10.0,46.0,1533.3333333333335,1.5333333333333334
Ten-0601-825,3,gw,10.0,16.0,533.3333333333334,0.5333333333333333
Ten-0602-5894,1,gw,10.0,14.0,466.6666666666667,0.4666666666666667
Ten-0602-5894,2,gw,10.0,27.0,900.0,0.9
Ten-0602-5894,3,gw,10.0,0.0,0.0,0.0
Ten-0602-5894,4,gw,10.0,1.0,33.333333333333336,0.03333333333333333
ThirtyFive-0301-1675,1,gw,420.0,0.0,0.0,0.0
ThirtyFive-0301-1675,2,gw,420.0,48.0,1600.0,1.6
ThirtyFive-0301-1675,3,gw,420.0,10.0,333.3333333333333,0.3333333333333333
ThirtyNine-0101-1660,1,gw,468.0,12.0,400.0,0.4
ThirtyNine-0101-1660,2,gw,468.0,26.0,866.6666666666667,0.8666666666666667
ThirtyNine-0101-1660,3,gw,468.0,0.0,0.0,0.0
ThirtyOne-0201-1676,1,gw,372.0,3.0,100.0,0.1
ThirtyOne-0201-1676,2,gw,372.0,0.0,0.0,0.0
ThirtyOne-0201-1676,3,gw,372.0,0.0,0.0,0.0
TwentyEight-0101-1664,1,gw,336.0,14.0,466.6666666666667,0.4666666666666667
TwentyEight-0101-1664,2,gw,336.0,0.0,0.0,0.0
TwentyEight-0101-1664,3,gw,336.0,0.0,0.0,0.0
TwentyFive-0101-1667,1,gw,300.0,9.0,300.0,0.3
TwentyFive-0101-1667,2,gw,300.0,10.0,333.3333333333333,0.3333333333333333
TwentyFive-0201-1669,1,gw,300.0,0.0,0.0,0.0
TwentyFive-0201-1669,3,gw,300.0,0.0,0.0,0.0
TwentyFour-0101-1663,1,gw,288.0,0.0,0.0,0.0
TwentyFour-0101-1663,2,gw,288.0,3.0,100.0,0.1
TwentyFour-0101-1663,3,gw,288.0,7.0,233.33333333333334,0.23333333333333334
TwentySeven-0101-1670,1,gw,324.0,7.0,233.33333333333334,0.23333333333333334
TwentySeven-0101-1670,2,gw,324.0,0.0,0.0,0.0
TwentySeven-0101-1670,3,gw,324.0,0.0,0.0,0.0
TwentyThree-0601-1671,1,gw,276.0,0.0,0.0,0.0
TwentyThree-0601-1671,2,gw,276.0,0.0,0.0,0.0
TwentyTwo-0101-1661,1,gw,264.0,0.0,0.0,0.0
TwentyTwo-0101-1661,2,gw,264.0,0.0,0.0,0.0
TwentyTwo-0101-1661,3,gw,264.0,0.0,0.0,0.0
TwentyTwo-0101-1661,4,gw,264.0,1.0,33.333333333333336,0.03333333333333333
TwentyTwo-0201-1665,1,gw,264.0,5.0,166.66666666666666,0.16666666666666666
TwentyTwo-0201-1665,2,gw,264.0,6.0,200.0,0.2
TwentyTwo-0201-1665,3,gw,264.0,5.0,166.66666666666666,0.16666666666666666
