cohort,strategy,mean,sem,n_trials
10-month-olds,Agent-Agent Attention,0.1928571428571429,0.047452790999224836,35
10-month-olds,Agent-Object Binding,0.18476190476190474,0.04965507275697217,35
10-month-olds,Motion Tracking,0.1304761904761905,0.043151340055585415,35
11-month-olds,Agent-Agent Attention,0.2746031746031746,0.06946144916520973,21
11-month-olds,Agent-Object Binding,0.2103174603174603,0.05063715972558419,21
11-month-olds,Motion Tracking,0.20476190476190476,0.0584765006971762,21
7-month-olds,Agent-Agent Attention,0.11357142857142857,0.05703443661734364,20
7-month-olds,Agent-Object Binding,0.17178571428571426,0.057163288692774906,20
7-month-olds,Motion Tracking,0.4314285714285714,0.08681306316740549,20
8-month-olds,Agent-Agent Attention,0.12101449275362318,0.052162474957603615,23
8-month-olds,Agent-Object Binding,0.06884057971014493,0.033404146584394515,23
8-month-olds,Motion Tracking,0.3115942028985507,0.08153820650543973,23
9-month-olds,Agent-Agent Attention,0.11034482758620691,0.046323611467679084,29
9-month-olds,Agent-Object Binding,0.33563218390804594,0.05507076192550062,29
9-month-olds,Motion Tracking,0.14885057471264368,0.045447743879118374,29
Adults,Agent-Agent Attention,0.23523809523809522,0.041216776851917825,45
Adults,Agent-Object Binding,0.3523280423280424,0.051745096049008385,45
Adults,Motion Tracking,0.22902116402116401,0.04570415240512185,45
