cohort,strategy,mean,sem,n_trials,n_participants
10-month-olds,Agent-Agent Attention,0.22152171170606297,0.04842626110484543,37,11
10-month-olds,Agent-Object Binding,0.4023090908997185,0.06532155075015135,37,11
10-month-olds,Motion Tracking,0.23632888009822992,0.0830483394439405,37,11
11-month-olds,Agent-Agent Attention,0.20323129251700678,0.06101350962200676,15,7
11-month-olds,Agent-Object Binding,0.4685374149659864,0.0997100107558354,15,7
11-month-olds,Motion Tracking,0.09098639455782312,0.044934127018313466,15,7
7-month-olds,Agent-Agent Attention,0.038461538461538464,0.029074190231479013,14,8
7-month-olds,Agent-Object Binding,0.12740384615384615,0.07018360438290287,14,8
7-month-olds,Motion Tracking,0.5456730769230769,0.14436520749121445,14,8
8-month-olds,Agent-Agent Attention,0.05873015873015872,0.043150086409740274,15,5
8-month-olds,Agent-Object Binding,0.25476190476190474,0.1588114871014504,15,5
8-month-olds,Motion Tracking,0.442063492063492,0.18271041015314937,15,5
9-month-olds,Agent-Agent Attention,0.13977072310405644,0.03786823451362585,26,9
9-month-olds,Agent-Object Binding,0.4322590989257656,0.09594755470456827,26,9
9-month-olds,Motion Tracking,0.13338945005611672,0.058158736358825534,26,9
Adults,Agent-Agent Attention,0.24438502673796791,0.05681408215579805,40,14
Adults,Agent-Object Binding,0.37436550377726846,0.06198094448698761,40,14
Adults,Motion Tracking,0.2976487564722859,0.0957174309795972,40,14
