cohort,strategy,mean,sem,n_trials
10-month-olds,Agent-Agent Attention,0.149812030075188,0.037752832518856416,38
10-month-olds,Agent-Object Binding,0.4181704260651629,0.054453971454632946,38
10-month-olds,Motion Tracking,0.2380325814536341,0.05593859672756902,38
11-month-olds,Agent-Agent Attention,0.15095785440613024,0.04120854606143032,29
11-month-olds,Agent-Object Binding,0.5524083196496988,0.06254355038807043,29
11-month-olds,Motion Tracking,0.09568965517241379,0.028958088029980074,29
7-month-olds,Agent-Agent Attention,0.06476190476190476,0.041774689903735826,25
7-month-olds,Agent-Object Binding,0.23028571428571426,0.04688250217113153,25
7-month-olds,Motion Tracking,0.44657142857142856,0.06755573270951828,25
8-month-olds,Agent-Agent Attention,0.11724137931034483,0.033358803473314866,29
8-month-olds,Agent-Object Binding,0.31880131362889985,0.051833277763810186,29
8-month-olds,Motion Tracking,0.26403940886699506,0.0466728575262412,29
9-month-olds,Agent-Agent Attention,0.0913793103448276,0.04106395523210477,29
9-month-olds,Agent-Object Binding,0.3902298850574712,0.06662312433436551,29
9-month-olds,Motion Tracking,0.24770114942528734,0.058894928252307445,29
Adults,Agent-Agent Attention,0.36722222222222217,0.04626297914749832,45
Adults,Agent-Object Binding,0.3909275292608626,0.04267130567301897,45
Adults,Motion Tracking,0.05616402116402116,0.014974433013470456,45
