cohort,mean_latency_frames,sem_latency_frames,mean_latency_ms,sem_latency_ms,mean_latency_seconds,sem_latency_seconds,trials
7-month-olds,84.375,8.823542979681443,2812.5,294.1180993227147,2.8125,0.29411809932271477,8
8-month-olds,86.91666666666667,6.470748087206055,2897.222222222222,215.69160290686847,2.897222222222222,0.21569160290686848,12
9-month-olds,76.5,7.463280073168194,2550.0,248.7760024389398,2.5500000000000003,0.24877600243893983,14
10-month-olds,72.76923076923077,5.350573712533492,2425.6410256410254,178.35245708444978,2.425641025641026,0.17835245708444974,26
11-month-olds,74.64285714285714,8.709352774212498,2488.095238095238,290.31175914041654,2.4880952380952377,0.2903117591404165,14
Adults,62.63636363636363,5.289859184594374,2087.878787878788,176.32863948647918,2.087878787878788,0.17632863948647914,33
