cohort,strategy,mean,sem,n_trials
10-month-olds,Agent-Agent Attention,0.3756547619047619,0.05653423384413031,40
10-month-olds,Agent-Object Binding,0.3299404761904762,0.05071032214214366,40
10-month-olds,Motion Tracking,0.11113095238095239,0.028146048338374405,40
11-month-olds,Agent-Agent Attention,0.32151515151515153,0.0771282071007651,25
11-month-olds,Agent-Object Binding,0.19643434343434343,0.05260963566288829,25
11-month-olds,Motion Tracking,0.23785858585858585,0.06904072873255851,25
7-month-olds,Agent-Agent Attention,0.051587301587301584,0.038350664851903395,21
7-month-olds,Agent-Object Binding,0.1722222222222222,0.068170861179341,21
7-month-olds,Motion Tracking,0.41031746031746036,0.09215581030866016,21
8-month-olds,Agent-Agent Attention,0.2001904761904762,0.06141779159752127,25
8-month-olds,Agent-Object Binding,0.16304761904761908,0.04531574788969858,25
8-month-olds,Motion Tracking,0.38719047619047614,0.0829476129878246,25
9-month-olds,Agent-Agent Attention,0.29833333333333334,0.08417035774432124,20
9-month-olds,Agent-Object Binding,0.3733333333333333,0.07491125353665327,20
9-month-olds,Motion Tracking,0.2833333333333333,0.07606937430794562,20
Adults,Agent-Agent Attention,0.24747732426303853,0.05227110691297342,42
Adults,Agent-Object Binding,0.40897581254724114,0.05336704060552272,42
Adults,Motion Tracking,0.22159863945578231,0.049061949972142374,42
