cohort,strategy,mean,sem,n_trials
10-month-olds,Agent-Agent Attention,0.149812030075188,0.037752832518856416,38
10-month-olds,Agent-Object Binding,0.4181704260651629,0.054453971454632946,38
10-month-olds,Motion Tracking,0.2380325814536341,0.05593859672756902,38
11-month-olds,Agent-Agent Attention,0.1468390804597701,0.039587738051322874,29
11-month-olds,Agent-Object Binding,0.5382183908045977,0.06240690554611594,29
11-month-olds,Motion Tracking,0.10488505747126436,0.03285139399686887,29
7-month-olds,Agent-Agent Attention,0.06404761904761905,0.04172512905381867,25
7-month-olds,Agent-Object Binding,0.22314285714285714,0.04616234620451028,25
7-month-olds,Motion Tracking,0.44942857142857134,0.06758442552053164,25
8-month-olds,Agent-Agent Attention,0.11436781609195401,0.032813309576960194,29
8-month-olds,Agent-Object Binding,0.28891625615763544,0.05046244538506266,29
8-month-olds,Motion Tracking,0.2835796387520525,0.04744651844529602,29
9-month-olds,Agent-Agent Attention,0.0913793103448276,0.041063955232104765,29
9-month-olds,Agent-Object Binding,0.3902298850574712,0.06662312433436553,29
9-month-olds,Motion Tracking,0.24770114942528734,0.058894928252307445,29
Adults,Agent-Agent Attention,0.36722222222222217,0.04626297914749831,45
Adults,Agent-Object Binding,0.3909275292608626,0.04267130567301896,45
Adults,Motion Tracking,0.05616402116402116,0.014974433013470456,45
