cohort,strategy,mean,sem,n_trials
10-month-olds,Agent-Agent Attention,0.4251669519111379,0.052841170598566294,43
10-month-olds,Agent-Object Binding,0.2292778281150374,0.04176436017389592,43
10-month-olds,Motion Tracking,0.11803332326588141,0.032064911996889746,43
11-month-olds,Agent-Agent Attention,0.41298581048581057,0.060788930103531424,30
11-month-olds,Agent-Object Binding,0.18592592592592594,0.05384251229089506,30
11-month-olds,Motion Tracking,0.105,0.042323557564366156,30
7-month-olds,Agent-Agent Attention,0.24188311688311692,0.06462375127156571,22
7-month-olds,Agent-Object Binding,0.15281385281385285,0.04098460699954121,22
7-month-olds,Motion Tracking,0.29354256854256855,0.07427137053131237,22
8-month-olds,Agent-Agent Attention,0.46277446277446277,0.058132537540836055,37
8-month-olds,Agent-Object Binding,0.09990737490737492,0.02520429769033912,37
8-month-olds,Motion Tracking,0.16882434382434383,0.04771829076624624,37
9-month-olds,Agent-Agent Attention,0.3682011682011682,0.05324494342980354,37
9-month-olds,Agent-Object Binding,0.18792776292776292,0.033011990227889663,37
9-month-olds,Motion Tracking,0.14158086658086658,0.03318652403725462,37
Adults,Agent-Agent Attention,0.27345136747310667,0.03340076735026944,46
Adults,Agent-Object Binding,0.2929203043333478,0.030671343660043766,46
Adults,Motion Tracking,0.12191799746147572,0.02119161259763518,46
