cohort,strategy,mean,sem,n_trials
10-month-olds,Agent-Agent Attention,0.14147361647361648,0.0345491184689473,37
10-month-olds,Agent-Object Binding,0.30868725868725866,0.05181106933610933,37
10-month-olds,Motion Tracking,0.11512226512226512,0.025520734871598335,37
11-month-olds,Agent-Agent Attention,0.17341269841269843,0.049019198740591734,24
11-month-olds,Agent-Object Binding,0.3128968253968254,0.06965858485126186,24
11-month-olds,Motion Tracking,0.12475198412698413,0.040623904539000326,24
7-month-olds,Agent-Agent Attention,0.1613871635610766,0.037995397978923894,23
7-month-olds,Agent-Object Binding,0.22184265010351964,0.06052492441280483,23
7-month-olds,Motion Tracking,0.11118012422360248,0.037363104848782476,23
8-month-olds,Agent-Agent Attention,0.04710144927536231,0.02713545807802683,23
8-month-olds,Agent-Object Binding,0.2884057971014493,0.06902770800550986,23
8-month-olds,Motion Tracking,0.2894409937888199,0.058957750018554994,23
9-month-olds,Agent-Agent Attention,0.1976190476190476,0.04775299976648789,27
9-month-olds,Agent-Object Binding,0.3133597883597883,0.06347611003953328,27
9-month-olds,Motion Tracking,0.1710758377425044,0.055195165699919155,27
Adults,Agent-Agent Attention,0.3113256062119698,0.05271602807207799,44
Adults,Agent-Object Binding,0.2751248751248751,0.041700770712220114,44
Adults,Motion Tracking,0.1749540232494778,0.03131619902556274,44
