cohort,strategy,mean,sem,n_trials
10-month-olds,Agent-Agent Attention,0.005747126436781609,0.005747126436781609,29
10-month-olds,Agent-Object Binding,0.2857963875205254,0.06767293361980127,29
10-month-olds,Motion Tracking,0.45673234811165847,0.06759392394598072,29
11-month-olds,Agent-Agent Attention,0.034999999999999996,0.02643263533071032,20
11-month-olds,Agent-Object Binding,0.26416666666666666,0.059201250085584384,20
11-month-olds,Motion Tracking,0.5033333333333333,0.0814937302507097,20
7-month-olds,Agent-Agent Attention,0.0,0.0,10
7-month-olds,Agent-Object Binding,0.175,0.07900812585182161,10
7-month-olds,Motion Tracking,0.3333333333333333,0.12909944487358058,10
8-month-olds,Agent-Agent Attention,0.0,0.0,16
8-month-olds,Agent-Object Binding,0.17708333333333331,0.07937654927038636,16
8-month-olds,Motion Tracking,0.5364583333333334,0.10622106087376526,16
9-month-olds,Agent-Agent Attention,0.0,0.0,23
9-month-olds,Agent-Object Binding,0.07789855072463768,0.03438560071564239,23
9-month-olds,Motion Tracking,0.7137681159420289,0.08779650292900289,23
Adults,Agent-Agent Attention,0.07384259259259258,0.020364169029609573,36
Adults,Agent-Object Binding,0.2913029100529101,0.05143435856526926,36
Adults,Motion Tracking,0.5313492063492063,0.058960162020362285,36
